DATAFLOW,AUDST,BASE_PER,CENTER_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2012,2011,2011-06-30,IX,161.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2012,2011,2011-06-30,IX,135.4
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2012,2011,2011-06-30,IX,157.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2012,2011,2011-06-30,IX,149.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2012,2011,2011-06-30,IX,191.6
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AHMEDABAD,QFY,2012,2011,2011-06-30,IX,121.296550908643
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AL_INDIA,QFY,2012,2011,2011-06-30,IX,115.987160854861
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,BANGALORE,QFY,2012,2011,2011-06-30,IX,110.679615302802
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,CHENNAI,QFY,2012,2011,2011-06-30,IX,101.157996423367
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,DELHI,QFY,2012,2011,2011-06-30,IX,126.819483612892
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,JAIPUR,QFY,2012,2011,2011-06-30,IX,106.272775009928
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KANPUR,QFY,2012,2011,2011-06-30,IX,104.676173192346
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOCHI,QFY,2012,2011,2011-06-30,IX,120.865986427078
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOLKATA,QFY,2012,2011,2011-06-30,IX,103.030473892551
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,LUCKNOW,QFY,2012,2011,2011-06-30,IX,118.001952060347
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,MUMBAI,QFY,2012,2011,2011-06-30,IX,122.091899379462
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2012,2011,2011-09-30,IX,162.8
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2012,2011,2011-09-30,IX,116.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2012,2011,2011-09-30,IX,113.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2012,2011,2011-09-30,IX,153.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2012,2011,2011-09-30,IX,165.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2012,2011,2011-09-30,IX,138.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2012,2011,2011-09-30,IX,159.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2012,2011,2011-09-30,IX,159.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2012,2011,2011-09-30,IX,206.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AHMEDABAD,QFY,2012,2011,2011-09-30,IX,130.432881388632
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AL_INDIA,QFY,2012,2011,2011-09-30,IX,119.435481344013
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,BANGALORE,QFY,2012,2011,2011-09-30,IX,107.83392879311
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,CHENNAI,QFY,2012,2011,2011-09-30,IX,110.366074613511
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,DELHI,QFY,2012,2011,2011-09-30,IX,124.79857709159
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,JAIPUR,QFY,2012,2011,2011-09-30,IX,109.565380141635
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KANPUR,QFY,2012,2011,2011-09-30,IX,106.750183753528
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOCHI,QFY,2012,2011,2011-09-30,IX,104.950787188201
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOLKATA,QFY,2012,2011,2011-09-30,IX,105.019951271479
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,LUCKNOW,QFY,2012,2011,2011-09-30,IX,123.083055537411
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,MUMBAI,QFY,2012,2011,2011-09-30,IX,131.417743002657
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2012,2011,2011-12-31,IX,171.8
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AL_INDIA,QFY,2012,2011,2011-12-31,IX,164.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2012,2011,2011-12-31,IX,146.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2012,2011,2011-12-31,IX,120.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2012,2011,2011-12-31,IX,168.6
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2012,2011,2011-12-31,IX,163.5
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2012,2011,2011-12-31,IX,140.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2012,2011,2011-12-31,IX,155.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2012,2011,2011-12-31,IX,172.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2012,2011,2011-12-31,IX,191.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AHMEDABAD,QFY,2012,2011,2011-12-31,IX,137.117243746749
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AL_INDIA,QFY,2012,2011,2011-12-31,IX,125.476595544868
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,BANGALORE,QFY,2012,2011,2011-12-31,IX,138.595969855702
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,CHENNAI,QFY,2012,2011,2011-12-31,IX,110.737445672815
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,DELHI,QFY,2012,2011,2011-12-31,IX,136.740944764687
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,JAIPUR,QFY,2012,2011,2011-12-31,IX,108.256343156574
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KANPUR,QFY,2012,2011,2011-12-31,IX,108.541486251379
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOCHI,QFY,2012,2011,2011-12-31,IX,103.051800030747
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOLKATA,QFY,2012,2011,2011-12-31,IX,103.157874097549
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,LUCKNOW,QFY,2012,2011,2011-12-31,IX,131.944909264532
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,MUMBAI,QFY,2012,2011,2011-12-31,IX,122.787799055711
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2012,2011,2012-03-31,IX,177.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AL_INDIA,QFY,2012,2011,2012-03-31,IX,176.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2012,2011,2012-03-31,IX,140.6
