DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,SMALL_SAVINGS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2003,2002,SSV2,0,2003-03-31,INR,330510000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2003,2002,SSV3,0,2003-03-31,INR,23370000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2003,2002,TTL_RECEIPTS,0,2003-03-31,INR,1056020000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2004,2003,SSV1,0,2004-03-31,INR,1889070000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2004,2003,SSV2,0,2004-03-31,INR,1745630000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2004,2003,SSV3,0,2004-03-31,INR,122670000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2004,2003,TTL_OUTSTNDINGS,0,2004-03-31,INR,3757370000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2004,2003,SSV1,0,2004-03-31,INR,942720000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2004,2003,SSV2,0,2004-03-31,INR,391700000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2004,2003,SSV3,0,2004-03-31,INR,25280000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2004,2003,TTL_RECEIPTS,0,2004-03-31,INR,1359700000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2005,2004,SSV1,0,2005-03-31,INR,2516650000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2005,2004,SSV2,0,2005-03-31,INR,1917940000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2005,2004,SSV3,0,2005-03-31,INR,142730000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2005,2004,TTL_OUTSTNDINGS,0,2005-03-31,INR,4577320000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2005,2004,SSV1,0,2005-03-31,INR,1226160000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2005,2004,SSV2,0,2005-03-31,INR,333690000000
