DATAFLOW,AUDST,FREQ,PUB_BORWING_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1999,1998,0,1999-03-31,INR,485870000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,1999,1998,0,1999-03-31,INR,756680000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,1999,1998,0,1999-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,1999,1998,0,1999-03-31,INR,-618520000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1999,1998,0,1999-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,1998,1997,0,1998-03-31,INR,66500000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,1998,1997,0,1998-03-31,INR,1243460000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,1998,1997,0,1998-03-31,INR,254780000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1998,1997,0,1998-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,1998,1997,0,1998-03-31,INR,303380000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,1998,1997,0,1998-03-31,INR,496820000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,1998,1997,0,1998-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1998,1997,0,1998-03-31,INR,359900000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,1998,1997,0,1998-03-31,INR,-237920000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1997,1996,0,1997-03-31,INR,279380000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,1997,1996,0,1997-03-31,INR,264150000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,1997,1996,0,1997-03-31,INR,129640000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1997,1996,0,1997-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,1997,1996,0,1997-03-31,INR,69000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,1997,1996,0,1997-03-31,INR,150000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,1997,1996,0,1997-03-31,INR,-81990000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,1997,1996,0,1997-03-31,INR,1129730000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,1997,1996,0,1997-03-31,INR,319550000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,1996,1995,0,1996-03-31,INR,344440000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,1996,1995,0,1996-03-31,INR,227380000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1996,1995,0,1996-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,1996,1995,0,1996-03-31,INR,73680000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,1996,1995,0,1996-03-31,INR,1153270000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,1996,1995,0,1996-03-31,INR,76000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1996,1995,0,1996-03-31,INR,426640000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,1996,1995,0,1996-03-31,INR,133440000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,1996,1995,0,1996-03-31,INR,-128310000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,1995,1994,0,1995-03-31,INR,101000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,1995,1994,0,1995-03-31,INR,120840000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,1995,1994,0,1995-03-31,INR,264500000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1995,1994,0,1995-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,1995,1994,0,1995-03-31,INR,60000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,1995,1994,0,1995-03-31,INR,213420000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1995,1994,0,1995-03-31,INR,409940000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,1995,1994,0,1995-03-31,INR,978780000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,1995,1994,0,1995-03-31,INR,-190920000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,1994,1993,0,1994-03-31,INR,-174220000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,1994,1993,0,1994-03-31,INR,92730000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,1994,1993,0,1994-03-31,INR,927480000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1994,1993,0,1994-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,1994,1993,0,1994-03-31,INR,112350000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,1994,1993,0,1994-03-31,INR,220000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1994,1993,0,1994-03-31,INR,336480000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,1994,1993,0,1994-03-31,INR,90600000000
