DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2008-02-29,INR,96010000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2008-01-31,INR,182230000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-12-31,INR,-186960000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-11-30,INR,140180000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-10-31,INR,10560000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-09-30,INR,-221380000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-08-31,INR,-260700000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-07-31,INR,170040000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-06-30,INR,502690000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-05-31,INR,343210000000
RBI:CG_DEFM_RN(1.0),N_A,M,2008,2007,0,2007-04-30,INR,278140000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2007-03-31,INR,207560000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2007-02-28,INR,107810000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2007-01-31,INR,161820000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-12-31,INR,-133470000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-11-30,INR,211010000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-10-31,INR,6390000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-09-30,INR,-42170000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-08-31,INR,42740000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-07-31,INR,86640000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-06-30,INR,56520000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-05-31,INR,401320000000
RBI:CG_DEFM_RN(1.0),N_A,M,2007,2006,0,2006-04-30,INR,319560000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2006-03-31,INR,142150000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2006-02-28,INR,104930000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2006-01-31,INR,133930000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-12-31,INR,-46150000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-11-30,INR,208810000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-10-31,INR,82250000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-09-30,INR,-24850000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-08-31,INR,88480000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-07-31,INR,229630000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-06-30,INR,69140000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-05-31,INR,191970000000
RBI:CG_DEFM_RN(1.0),N_A,M,2006,2005,0,2005-04-30,INR,284060000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2005-03-31,INR,102960000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2005-02-28,INR,116970000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2005-01-31,INR,135620000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-12-31,INR,195220000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-11-30,INR,85820000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-10-31,INR,89000000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-09-30,INR,7260000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-08-31,INR,21110000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-07-31,INR,87170000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-06-30,INR,26990000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-05-31,INR,129840000000
RBI:CG_DEFM_RN(1.0),N_A,M,2005,2004,0,2004-04-30,INR,259980000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2004-03-31,INR,128030000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2004-02-29,INR,84280000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2004-01-31,INR,96070000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-12-31,INR,-12210000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-11-30,INR,76780000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-10-31,INR,49640000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-09-30,INR,375470000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-08-31,INR,-90510000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-07-31,INR,139100000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-06-30,INR,44670000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-05-31,INR,170010000000
RBI:CG_DEFM_RN(1.0),N_A,M,2004,2003,0,2003-04-30,INR,171400000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2003-03-31,INR,300790000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2003-02-28,INR,22110000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2003-01-31,INR,265130000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-12-31,INR,28750000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-11-30,INR,136000000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-10-31,INR,120480000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-09-30,INR,22500000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-08-31,INR,-40310000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-07-31,INR,199670000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-06-30,INR,95770000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-05-31,INR,146540000000
RBI:CG_DEFM_RN(1.0),N_A,M,2003,2002,0,2002-04-30,INR,153290000000
RBI:CG_DEFM_RN(1.0),N_A,M,2002,2001,0,2002-03-31,INR,247800000000
