DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIAB_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TTL_LIABLITIES,0,2007-03-31,INR,26370790000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL1101,0,2007-03-31,INR,9728010000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL12,0,2007-03-31,INR,5394500000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL1104,0,2007-03-31,INR,4987470000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL2,0,2007-03-31,INR,2011990000000
RBI:CGL_RN(1.0),N_A,AFY,2007,2006,TL13,0,2007-03-31,INR,2201600000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL1103,0,2006-03-31,INR,357850000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL2,0,2006-03-31,INR,1940700000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL1104,0,2006-03-31,INR,4752390000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL1102,0,2006-03-31,INR,163640000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TTL_LIABLITIES,0,2006-03-31,INR,23599720000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL13,0,2006-03-31,INR,1869210000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL1,0,2006-03-31,INR,21659020000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL1101,0,2006-03-31,INR,8623700000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL14,0,2006-03-31,INR,1094620000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL12,0,2006-03-31,INR,4797610000000
RBI:CGL_RN(1.0),N_A,AFY,2006,2005,TL11,0,2006-03-31,INR,13897580000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL12,0,2005-03-31,INR,3904770000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL1103,0,2005-03-31,INR,261480000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL1101,0,2005-03-31,INR,7589950000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL13,0,2005-03-31,INR,1741070000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL14,0,2005-03-31,INR,929890000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL1,0,2005-03-31,INR,19335440000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL11,0,2005-03-31,INR,12759710000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TTL_LIABLITIES,0,2005-03-31,INR,21247260000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL1104,0,2005-03-31,INR,4824900000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL2,0,2005-03-31,INR,1911820000000
RBI:CGL_RN(1.0),N_A,AFY,2005,2004,TL1102,0,2005-03-31,INR,83380000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL1,0,2004-03-31,INR,16905540000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL11,0,2004-03-31,INR,11417060000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL1104,0,2004-03-31,INR,4004250000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL2,0,2004-03-31,INR,1841770000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL13,0,2004-03-31,INR,1680940000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TTL_LIABLITIES,0,2004-03-31,INR,18747310000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL1101,0,2004-03-31,INR,7079650000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL14,0,2004-03-31,INR,923760000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL1102,0,2004-03-31,INR,71840000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL1103,0,2004-03-31,INR,261320000000
RBI:CGL_RN(1.0),N_A,AFY,2004,2003,TL12,0,2004-03-31,INR,2883780000000
RBI:CGL_RN(1.0),N_A,AFY,2003,2002,TL1104,0,2003-03-31,INR,3657890000000
RBI:CGL_RN(1.0),N_A,AFY,2003,2002,TL1102,0,2003-03-31,INR,96730000000
RBI:CGL_RN(1.0),N_A,AFY,2003,2002,TL1101,0,2003-03-31,INR,6191050000000
RBI:CGL_RN(1.0),N_A,AFY,2003,2002,TL1,0,2003-03-31,INR,14995890000000
RBI:CGL_RN(1.0),N_A,AFY,2003,2002,TL13,0,2003-03-31,INR,1723740000000
RBI:CGL_RN(1.0),N_A,AFY,2003,2002,TL14,0,2003-03-31,INR,801260000000
