DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SECTOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1997,1996,SEC1,0,1997-03-31,INR,59840000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC1,0,1996-03-31,INR,50820000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC7,0,1996-03-31,INR,53560000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC6,0,1996-03-31,INR,137670000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC9,0,1996-03-31,INR,259250000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC4,0,1996-03-31,INR,268930000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC3,0,1996-03-31,INR,72450000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC5,0,1996-03-31,INR,108080000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,TTL,0,1996-03-31,INR,1073800000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC2,0,1996-03-31,INR,103750000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1996,1995,SEC8,0,1996-03-31,INR,19290000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC6,0,1995-03-31,INR,120970000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC7,0,1995-03-31,INR,39400000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC8,0,1995-03-31,INR,16260000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC5,0,1995-03-31,INR,90880000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC3,0,1995-03-31,INR,61040000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC1,0,1995-03-31,INR,53500000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,TTL,0,1995-03-31,INR,981670000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC4,0,1995-03-31,INR,274820000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC2,0,1995-03-31,INR,101450000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1995,1994,SEC9,0,1995-03-31,INR,223350000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC9,0,1994-03-31,INR,182370000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC6,0,1994-03-31,INR,119770000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC4,0,1994-03-31,INR,269090000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC3,0,1994-03-31,INR,53700000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC1,0,1994-03-31,INR,42630000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC8,0,1994-03-31,INR,13000000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC5,0,1994-03-31,INR,84810000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,TTL,0,1994-03-31,INR,880810000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC7,0,1994-03-31,INR,31470000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1994,1993,SEC2,0,1994-03-31,INR,83970000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1993,1992,SEC2,0,1993-03-31,INR,63750000000
