DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_BUG_RESOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1996,1995,BR13,0,1996-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1996,1995,BR11,0,1996-03-31,INR,168575000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1996,1995,BR1,0,1996-03-31,INR,166850000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1996,1995,BR21,0,1996-03-31,INR,275713000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1996,1995,BR23,0,1996-03-31,INR,67976000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1996,1995,BR12,0,1996-03-31,INR,-1729000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,BR23,0,1995-03-31,INR,52646000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,BR2,0,1995-03-31,INR,398720000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,BR11,0,1995-03-31,INR,148043000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,BR12,0,1995-03-31,INR,-4759000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,BR1,0,1995-03-31,INR,143280000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,BR22,0,1995-03-31,INR,71908000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,TTL_BUG_RESOURCES,0,1995-03-31,INR,542000000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,BR13,0,1995-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1995,1994,BR21,0,1995-03-31,INR,274161000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,BR1,0,1994-03-31,INR,127650000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,BR23,0,1994-03-31,INR,24569000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,BR22,0,1994-03-31,INR,66322000000
