DATAFLOW,AUDST,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,57.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,AUTR_SAL_GFA,0,2012-03-31,PT,132.7
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,AUTR_SAL_TNA,0,2012-03-31,PT,64.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,AUTR_SD_TO_SL,0,2012-03-31,PT,27.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,CSR_DEB_EQT,0,2012-03-31,PT,49.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,CSR_DTE_ADJ,0,2012-03-31,PT,51.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,CSR_NFA_TNA,0,2012-03-31,PT,31.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,CSR_NW_TNA,0,2012-03-31,PT,42.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,CSR_STBB_INV,0,2012-03-31,PT,81.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,CSR_TOL_TNW,0,2012-03-31,PT,134.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,LR_CA_CL,0,2012-03-31,PT,1.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,LR_CA_TNA,0,2012-03-31,PT,55.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,LR_QA_CL,0,2012-03-31,PT,70.2
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,LR_SC_TO_CA,0,2012-03-31,PT,18.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,LR_SC_TO_NWC,0,2012-03-31,PT,50.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,PPAR_DIV_NW,0,2012-03-31,PT,1.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,PPAR_EBD_SAL,0,2012-03-31,PT,2.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,PPAR_GP_SAL,0,2012-03-31,PT,9.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,PPAR_GP_TNA,0,2012-03-31,PT,6.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,PPAR_OD_TO_OPC,0,2012-03-31,PT,11.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,PPAR_PAT_TNW,0,2012-03-31,PT,5.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,PPAR_PR_PAT,0,2012-03-31,PT,80.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,PPAR_TP_PBT,0,2012-03-31,PT,25.2
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,SUFR_ESF_TSF,0,2012-03-31,PT,74.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,SUFR_GCF_TUF,0,2012-03-31,PT,42.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,SUFR_GFAF_TUF,0,2012-03-31,PT,34.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,SUFR_GS_GCF,0,2012-03-31,PT,78.7
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,871,AFY,CURR_YR,2012,2011,HUN_TO_500_CR,SUFR_IBB_TES,0,2012-03-31,PT,20.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,AUTR_EXP_SAL,0,2012-03-31,PT,9.7
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,AUTR_GVA_GFA,0,2012-03-31,PT,8.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,AUTR_INV_SAL,0,2012-03-31,PT,36.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,41.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,AUTR_SAL_GFA,0,2012-03-31,PT,37.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,AUTR_SAL_TNA,0,2012-03-31,PT,8.8
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,AUTR_SD_TO_SL,0,2012-03-31,PT,47.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,CSR_DEB_EQT,0,2012-03-31,PT,8.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,CSR_DTE_ADJ,0,2012-03-31,PT,9.2
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,CSR_NFA_TNA,0,2012-03-31,PT,13.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,CSR_NW_TNA,0,2012-03-31,PT,71.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,CSR_STBB_INV,0,2012-03-31,PT,88.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,CSR_TOL_TNW,0,2012-03-31,PT,40.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,LR_CA_CL,0,2012-03-31,PT,1.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,LR_CA_TNA,0,2012-03-31,PT,21.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,LR_QA_CL,0,2012-03-31,PT,37.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,668,AFY,CURR_YR,2012,2011,LESS_THN_25_CR,LR_SC_TO_CA,0,2012-03-31,PT,13.7
