DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-08-25,INR,31224300000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-07-28,INR,284985300000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-07-28,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-07-28,INR,30815300000.000004
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-07-28,INR,254170000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-06-30,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-06-30,INR,33191900000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-06-30,INR,312560000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-06-30,INR,345751900000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-05-19,INR,33259999999.999996
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-05-19,INR,38000000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-05-19,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-05-19,INR,71260000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-04-21,INR,365640000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-04-21,INR,159000000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-04-21,INR,169450000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-04-21,INR,37190000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2023-03-24,INR,24420000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2023-03-24,INR,283880000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2023-03-24,INR,159000000000
