DATAFLOW,AUDST,FREQ,RATIOS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2007,2006,0,2007-03-31,RO,1.44
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2007,2006,0,2007-03-31,RO,4.95
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2007,2006,0,2007-03-31,RO,9.43
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2008,2007,0,2008-03-31,RO,1.1
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2008,2007,0,2008-03-31,RO,0.56
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2008,2007,0,2008-03-31,RO,0.17
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2008,2007,0,2008-03-31,RO,0.09
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2008,2007,0,2008-03-31,RO,1.26
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2008,2007,0,2008-03-31,RO,4.58
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2008,2007,0,2008-03-31,RO,1.36
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2008,2007,0,2008-03-31,RO,4.92
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2008,2007,0,2008-03-31,RO,9.47
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2009,2008,0,2009-03-31,RO,1.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2009,2008,0,2009-03-31,RO,0.56
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2009,2008,0,2009-03-31,RO,0.17
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2009,2008,0,2009-03-31,RO,0.08
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2009,2008,0,2009-03-31,RO,1.25
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2009,2008,0,2009-03-31,RO,4.75
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2009,2008,0,2009-03-31,RO,1.27
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2009,2008,0,2009-03-31,RO,4.84
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2009,2008,0,2009-03-31,RO,8.97
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2010,2009,0,2010-03-31,RO,1.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2010,2009,0,2010-03-31,RO,0.46
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2010,2009,0,2010-03-31,RO,0.16
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2010,2009,0,2010-03-31,RO,0.06
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2010,2009,0,2010-03-31,RO,1.32
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2010,2009,0,2010-03-31,RO,5.2
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2010,2009,0,2010-03-31,RO,1.23
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2010,2009,0,2010-03-31,RO,4.82
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2010,2009,0,2010-03-31,RO,8.92
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2011,2010,0,2011-03-31,RO,1.24
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2011,2010,0,2011-03-31,RO,0.52
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2011,2010,0,2011-03-31,RO,0.16
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2011,2010,0,2011-03-31,RO,0.07
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2011,2010,0,2011-03-31,RO,1.27
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2011,2010,0,2011-03-31,RO,4.97
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2011,2010,0,2011-03-31,RO,1.27
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2011,2010,0,2011-03-31,RO,4.95
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2011,2010,0,2011-03-31,RO,8.98
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2012,2011,0,2012-03-31,RO,1.47
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2012,2011,0,2012-03-31,RO,0.62
