DATAFLOW,AUDST,COMPONTS_F_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2011,2010,0,2010-12-31,INR,46334073718000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2010,2009,0,2010-03-31,INR,56026983099999.99
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2010,2009,0,2010-03-31,INR,38060009000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2010,2009,0,2010-03-31,INR,7179697034000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2010,2009,0,2010-03-31,INR,7674924976000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2010,2009,0,2010-03-31,INR,41134301111000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2010,2009,0,2010-01-15,INR,37699509000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2010,2009,0,2010-01-15,INR,7487837067000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2010,2009,0,2010-01-15,INR,53184223200000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2010,2009,0,2010-01-15,INR,39635281425000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2010,2009,0,2010-01-15,INR,6023405243000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2010,2009,0,2009-07-31,INR,42156316000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2010,2009,0,2009-07-31,INR,5861451334000.001
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2010,2009,0,2009-07-31,INR,37823742471000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2010,2009,0,2009-07-31,INR,50486981100000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2010,2009,0,2009-07-31,INR,6759630978000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2009,2008,0,2009-03-31,INR,35351046053000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2009,2008,0,2009-03-31,INR,55330239000
