DATAFLOW,AUDST,DENOMITIN_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,2004,2003,0,2004-03-31,INR,1214420000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,2004,2003,0,2004-03-31,INR,1229380000000
RBI:NOT_COIN_RN(1.0),N_A,NCC15,AFY,2004,2003,0,2004-03-31,INR,274730000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,2005,2004,0,2005-03-31,INR,13530000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,2005,2004,0,2005-03-31,INR,2990000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,2005,2004,0,2005-03-31,INR,17900000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,2005,2004,0,2005-03-31,INR,12900000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,2005,2004,0,2005-03-31,INR,26190000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,2005,2004,0,2005-03-31,INR,4620000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,2005,2004,0,2005-03-31,INR,20860000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,2005,2004,0,2005-03-31,INR,67700000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,2005,2004,0,2005-03-31,INR,38760000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,2005,2004,0,2005-03-31,INR,299410000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,2005,2004,0,2005-03-31,INR,1232820000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,2005,2004,0,2005-03-31,INR,1527280000000
RBI:NOT_COIN_RN(1.0),N_A,NCC15,AFY,2005,2004,0,2005-03-31,INR,420820000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,2006,2005,0,2006-03-31,INR,13580000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,2006,2005,0,2006-03-31,INR,2990000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,2006,2005,0,2006-03-31,INR,18940000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,2006,2005,0,2006-03-31,INR,13650000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,2006,2005,0,2006-03-31,INR,27350000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,2006,2005,0,2006-03-31,INR,4510000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,2006,2005,0,2006-03-31,INR,19800000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,2006,2005,0,2006-03-31,INR,62740000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,2006,2005,0,2006-03-31,INR,40770000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,2006,2005,0,2006-03-31,INR,278420000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,2006,2005,0,2006-03-31,INR,1346370000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,2006,2005,0,2006-03-31,INR,1823320000000
RBI:NOT_COIN_RN(1.0),N_A,NCC15,AFY,2006,2005,0,2006-03-31,INR,643460000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,2007,2006,0,2007-03-31,INR,13640000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,2007,2006,0,2007-03-31,INR,3010000000
