DATAFLOW,AUDST,FREQ,MON_AGG_ITM,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,2004,2003,0,2004-03-31,PT,13.188127
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,2004,2003,0,2004-03-31,PT,25.574262
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,2004,2003,0,2004-03-31,PT,-32.375172
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,2004,2003,0,2004-03-31,PT,18.277746
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,2004,2003,0,2004-03-31,PT,14.672454
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,2005,2004,0,2005-03-31,PT,11.96613
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,2005,2004,0,2005-03-31,PT,13.125841
RBI:MON_AG_RN(1.0),N_A,AFY,DD,2005,2004,0,2005-03-31,PT,10.970291
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,2005,2004,0,2005-03-31,PT,12.281407
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,2005,2004,0,2005-03-31,PT,-162.995838
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,2005,2004,0,2005-03-31,PT,23.294434
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,2005,2004,0,2005-03-31,PT,25.681471
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,2005,2004,0,2005-03-31,PT,10.374574
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,2005,2004,0,2005-03-31,PT,-32.592391
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,2005,2004,0,2005-03-31,PT,12.055538
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,2005,2004,0,2005-03-31,PT,11.838271
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,2006,2005,0,2006-03-31,PT,21.100349
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,2006,2005,0,2006-03-31,PT,15.663246
RBI:MON_AG_RN(1.0),N_A,AFY,DD,2006,2005,0,2006-03-31,PT,41.960101
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,2006,2005,0,2006-03-31,PT,27.182699
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,2006,2005,0,2006-03-31,PT,-122.184534
