DATAFLOW,AUDST,BASE_PER,CURR_BASK_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_RATE,TYP_TRD_WTS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-06-30,IX,99.1
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-06-30,IX,97.87
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-07-31,IX,101.33
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-07-31,IX,100.02
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-07-31,IX,70.68
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-07-31,IX,98.87
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-07-31,IX,101.33
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-07-31,IX,100.02
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-08-31,IX,102.92
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-08-31,IX,101.74
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-08-31,IX,71.79
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-08-31,IX,100.57
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-08-31,IX,102.92
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-08-31,IX,101.74
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-09-30,IX,102.56
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-09-30,IX,102.29
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-09-30,IX,71.54
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-09-30,IX,101.12
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-09-30,IX,102.56
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-09-30,IX,102.29
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-10-31,IX,101.13
