DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FINC_RATIOS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_DIV_TTL_PUSC,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,95.8
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_DIV_TTL_PUSC,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,103.0
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_DIV_TTL_PUSC,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,9.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_NET_PFT_NET_WRT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,1.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_NET_PFT_NET_WRT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-4.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_NET_PFT_NET_WRT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-5.7
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_NET_PFT_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,0.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_NET_PFT_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-2.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_NET_PFT_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-3.8
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_OP_PFT_FIN_INC,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,20.0
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_OP_PFT_FIN_INC,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,20.9
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_OP_PFT_FIN_INC,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-3.0
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_DIV,N_A,466,PR_OP_PFT_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,1.8
