DATAFLOW,AUDST,FREQ,INF_OUT_DEP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2007,2006,0,2007-03-31,USD,1830000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2007,2006,0,2007-03-31,INR,93513300000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2007,2006,0,2007-03-31,INR,19291400000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2007,2006,0,2007-03-31,USD,426000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2007,2006,0,2007-03-31,USD,4321000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2007,2006,0,2007-03-31,INR,82871400000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2007,2006,0,2007-03-31,INR,195676100000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2006,2005,0,2006-03-31,INR,41174399999.99999
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2006,2005,0,2006-03-31,USD,930000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2006,2005,0,2006-03-31,INR,164653200000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2006,2005,0,2006-03-31,USD,1612000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2006,2005,0,2006-03-31,USD,3719000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2006,2005,0,2006-03-31,INR,52109900000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2006,2005,0,2006-03-31,INR,71368900000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2006,2005,0,2006-03-31,USD,1177000000
