DATAFLOW,AUDST,FREQ,INTL_INV_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_PI_ES_OS,2006,2005,0,2006-03-31,USD,319220000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_PORTF_INV,2006,2005,0,2006-03-31,INR,55137500000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_PORTF_INV,2006,2005,0,2006-03-31,USD,1235920000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FE_CD_BANKS,2006,2005,0,2006-03-31,INR,1986800000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FE_CD_BANKS,2006,2005,0,2006-03-31,USD,44537000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FE_CD_MA,2006,2005,0,2006-03-31,INR,2917450000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FE_CD_MA,2006,2005,0,2006-03-31,USD,65399000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FE_CUR_DEP,2006,2005,0,2006-03-31,INR,4904250000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FE_CUR_DEP,2006,2005,0,2006-03-31,USD,109936000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FE_SEC,2006,2005,0,2006-03-31,INR,1569020000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FE_SEC,2006,2005,0,2006-03-31,USD,35172000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FR_EXC,2006,2005,0,2006-03-31,INR,6473270000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_FR_EXC,2006,2005,0,2006-03-31,USD,145108000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_MON_GLD,2006,2005,0,2006-03-31,INR,256740000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_MON_GLD,2006,2005,0,2006-03-31,USD,5755000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_RES_POS_FND,2006,2005,0,2006-03-31,INR,33740000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_RES_POS_FND,2006,2005,0,2006-03-31,USD,756000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_SDR,2006,2005,0,2006-03-31,INR,120000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RA_SDR,2006,2005,0,2006-03-31,USD,3000000.0
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RES_ASS,2006,2005,0,2006-03-31,INR,6763870000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_RES_ASS,2006,2005,0,2006-03-31,USD,151622000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIT_AST,2006,2005,0,2006-03-31,INR,8215943100000.001
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIT_AST,2006,2005,0,2006-03-31,USD,184159120000
