DATAFLOW,AUDST,COUNTRYCODE,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,2530000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,20610000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_ASS,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,50000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,43100000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,64870000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AU,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,1390000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,BH,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,1710000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,BH,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,2840000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,3200000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,1130000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,23520000000
