DATAFLOW,AUDST,FREQ,INTER_INVS_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_DTCECB,2019,2018,0,2018-06-30,INR,11329000000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_DTCECB,2019,2018,0,2018-06-30,USD,165460000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_OS,2019,2018,0,2018-06-30,INR,121759300000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_OS,2019,2018,0,2018-06-30,USD,1775300000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_OS_ESOTIFS,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_OS_NFCH_NPISH,2019,2018,0,2018-06-30,INR,100808200000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_OS_NFCH_NPISH,2019,2018,0,2018-06-30,USD,1469830000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_OS_OFC,2019,2018,0,2018-06-30,INR,20951100000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_PI_EIFS_OS_OFC,2019,2018,0,2018-06-30,USD,305480000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA,2019,2018,0,2018-06-30,INR,26098900800000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA,2019,2018,0,2018-06-30,USD,380767550000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA_CD,2019,2018,0,2018-06-30,INR,9327437200000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA_CD,2019,2018,0,2018-06-30,USD,136081799999.99998
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA_CD_COMA,2019,2018,0,2018-06-30,INR,7314602500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA_CD_COMA,2019,2018,0,2018-06-30,USD,106715730000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA_CD_COOE,2019,2018,0,2018-06-30,INR,2012834700000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA_CD_COOE,2019,2018,0,2018-06-30,USD,29366070000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA_SEC,2019,2018,0,2018-06-30,INR,16771463700000.002
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_ORA_SEC,2019,2018,0,2018-06-30,USD,244685750000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_RPIMF,2019,2018,0,2018-06-30,INR,170282400000.00003
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_RA_MG_RPIMF,2019,2018,0,2018-06-30,USD,2484320000
