DATAFLOW,AUDST,FREQ,NRI_DEP_OS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2011,2010,0,2011-03-31,INR,696580000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2011,2010,0,2011-03-31,USD,26378000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2011,2010,0,2011-03-31,INR,2308120000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2011,2010,0,2011-03-31,USD,15597000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2011,2010,0,2011-03-31,INR,433520000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2011,2010,0,2011-03-31,USD,51682000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2011,2010,0,2011-03-31,INR,1178020000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2010,2009,0,2010-03-31,INR,1189840000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2010,2009,0,2010-03-31,USD,26251000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2010,2009,0,2010-03-31,INR,646250000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2010,2009,0,2010-03-31,USD,47890000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2010,2009,0,2010-03-31,USD,7381000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2010,2009,0,2010-03-31,INR,334530000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2010,2009,0,2010-03-31,USD,14258000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2010,2009,0,2010-03-31,INR,2170620000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2009,2008,0,2009-03-31,USD,41554000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2009,2008,0,2009-03-31,USD,4773000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2009,2008,0,2009-03-31,USD,13211000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2009,2008,0,2009-03-31,INR,1191810000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2009,2008,0,2009-03-31,INR,2101180000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2009,2008,0,2009-03-31,USD,23570000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2009,2008,0,2009-03-31,INR,668030000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2009,2008,0,2009-03-31,INR,241340000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2008,2007,0,2008-03-31,INR,1068240000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2008,2007,0,2008-03-31,USD,14168000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2008,2007,0,2008-03-31,INR,1746230000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2008,2007,0,2008-03-31,INR,111480000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2008,2007,0,2008-03-31,USD,43672000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2008,2007,0,2008-03-31,USD,2788000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2008,2007,0,2008-03-31,USD,26716000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2008,2007,0,2008-03-31,INR,566510000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2007,2006,0,2007-03-31,INR,1797880000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2007,2006,0,2007-03-31,USD,24495000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2007,2006,0,2007-03-31,INR,1067860000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2007,2006,0,2007-03-31,USD,1616000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2007,2006,0,2007-03-31,INR,659550000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2007,2006,0,2007-03-31,USD,15129000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2007,2006,0,2007-03-31,INR,70470000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2007,2006,0,2007-03-31,USD,41240000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2006,2005,0,2006-03-31,INR,582720000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2006,2005,0,2006-03-31,USD,36282000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2006,2005,0,2006-03-31,USD,22070000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2006,2005,0,2006-03-31,INR,51190000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2006,2005,0,2006-03-31,USD,13064000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2006,2005,0,2006-03-31,INR,1618340000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2006,2005,0,2006-03-31,INR,984430000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2006,2005,0,2006-03-31,USD,1148000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRNRRD,2005,2004,0,2005-03-31,INR,10150000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2005,2004,0,2005-03-31,USD,32975000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2005,2004,0,2005-03-31,INR,1442820000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2005,2004,0,2005-03-31,INR,931590000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRNRRD,2005,2004,0,2005-03-31,USD,232000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2005,2004,0,2005-03-31,USD,11452000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2005,2004,0,2005-03-31,INR,501080000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2005,2004,0,2005-03-31,USD,21291000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2004,2003,0,2004-03-31,USD,10961000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2004,2003,0,2004-03-31,USD,33266000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2004,2003,0,2004-03-31,USD,20559000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2004,2003,0,2004-03-31,INR,1504440000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRNRRD,2004,2003,0,2004-03-31,USD,1746000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2004,2003,0,2004-03-31,INR,929770000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2004,2003,0,2004-03-31,INR,495720000000
