DATAFLOW,AUDST,CAT_EXT_AST_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1995,1994,0,1995-03-31,INR,99650000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1995,1994,0,1995-03-31,USD,3185000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1995,1994,0,1995-03-31,INR,4550000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1995,1994,0,1995-03-31,USD,163000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1995,1994,0,1995-03-31,INR,134600000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1995,1994,0,1995-03-31,USD,4302000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1995,1994,0,1995-03-31,INR,108810000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1995,1994,0,1995-03-31,USD,3478000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1996,1995,0,1996-03-31,INR,75660000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1996,1995,0,1996-03-31,USD,2213000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1996,1995,0,1996-03-31,INR,126480000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1996,1995,0,1996-03-31,USD,3699000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1996,1995,0,1996-03-31,INR,10640000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1996,1995,0,1996-03-31,USD,319000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1996,1995,0,1996-03-31,INR,13300000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1996,1995,0,1996-03-31,USD,399000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1996,1995,0,1996-03-31,INR,50820000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1996,1995,0,1996-03-31,USD,1486000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1996,1995,0,1996-03-31,INR,108330000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1996,1995,0,1996-03-31,USD,3250000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1996,1995,0,1996-03-31,INR,99590000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1996,1995,0,1996-03-31,USD,2987000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1996,1995,0,1996-03-31,INR,-16250000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1996,1995,0,1996-03-31,USD,-393000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1996,1995,0,1996-03-31,INR,121630000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1996,1995,0,1996-03-31,USD,3649000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1996,1995,0,1996-03-31,INR,110230000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1996,1995,0,1996-03-31,USD,3306000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1997,1996,0,1997-03-31,INR,70700000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1997,1996,0,1997-03-31,USD,1966000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1997,1996,0,1997-03-31,INR,119400000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1997,1996,0,1997-03-31,USD,3320000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1997,1996,0,1997-03-31,INR,10860000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1997,1996,0,1997-03-31,USD,306000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1997,1996,0,1997-03-31,INR,29330000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1997,1996,0,1997-03-31,USD,826000000
