DATAFLOW,AUDST,FREQ,INDICATORS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2005,2004,0,2005-03-31,RO,8.037
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2005,2004,0,2005-03-31,RO,3.1748
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2005,2004,0,2005-03-31,RO,17.3851
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2006,2005,0,2006-03-31,RO,0.1899
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2006,2005,0,2006-03-31,RO,2.4391
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2006,2005,0,2006-03-31,RO,0.1641
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2006,2005,0,2006-03-31,RO,-2.0851
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2006,2005,0,2006-03-31,RO,-0.9191
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2006,2005,0,2006-03-31,RO,15.2078
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2006,2005,0,2006-03-31,RO,11.6701
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2006,2005,0,2006-03-31,RO,8.2941
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2006,2005,0,2006-03-31,RO,3.3761
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2006,2005,0,2006-03-31,RO,16.127
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2007,2006,0,2007-03-31,RO,-0.5788
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2007,2006,0,2007-03-31,RO,1.8048
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2007,2006,0,2007-03-31,RO,-0.3649
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2007,2006,0,2007-03-31,RO,-2.7484
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2007,2006,0,2007-03-31,RO,-0.3801
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2007,2006,0,2007-03-31,RO,15.3044
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2007,2006,0,2007-03-31,RO,12.3537
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2007,2006,0,2007-03-31,RO,8.6814
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2007,2006,0,2007-03-31,RO,3.6723
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2007,2006,0,2007-03-31,RO,15.6845
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2008,2007,0,2008-03-31,RO,-0.8611
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2008,2007,0,2008-03-31,RO,1.513
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2008,2007,0,2008-03-31,RO,-0.4888
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2008,2007,0,2008-03-31,RO,-2.8629
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2008,2007,0,2008-03-31,RO,-0.2689
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2008,2007,0,2008-03-31,RO,15.0855
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2008,2007,0,2008-03-31,RO,12.5073
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2008,2007,0,2008-03-31,RO,8.7816
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2008,2007,0,2008-03-31,RO,3.7256
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2008,2007,0,2008-03-31,RO,15.3543
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2009,2008,0,2009-03-31,RO,-0.2251
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2009,2008,0,2009-03-31,RO,2.3905
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2009,2008,0,2009-03-31,RO,0.5619
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2009,2008,0,2009-03-31,RO,-2.0537
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2009,2008,0,2009-03-31,RO,-0.1591
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2009,2008,0,2009-03-31,RO,15.6718
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2009,2008,0,2009-03-31,RO,12.3384
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2009,2008,0,2009-03-31,RO,8.5786
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2009,2008,0,2009-03-31,RO,3.7597
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,2009,2008,0,2009-03-31,RO,15.8309
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2010,2009,0,2010-03-31,RO,0.4788
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2010,2009,0,2010-03-31,RO,2.9149
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,2010,2009,0,2010-03-31,RO,1.1734
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,2010,2009,0,2010-03-31,RO,-1.2626
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,2010,2009,0,2010-03-31,RO,0.1188
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,2010,2009,0,2010-03-31,RO,15.6739
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,2010,2009,0,2010-03-31,RO,11.8579
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,2010,2009,0,2010-03-31,RO,8.152
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,2010,2009,0,2010-03-31,RO,3.7059
