DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,SALES,2016,2015,0,2016-03-31,PT,1.6726
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,241,AFY,MNF_CHM_PRD,TAX_PROV,2016,2015,0,2016-03-31,PT,16.7556
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,DEPRC,2016,2015,0,2016-03-31,PT,3.8809
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,EBITDA,2016,2015,0,2016-03-31,PT,19.7734
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,EXPD,2016,2015,0,2016-03-31,PT,-3.5737
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,25.1971
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,INT,2016,2015,0,2016-03-31,PT,-5.662
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,NET_PFT,2016,2015,0,2016-03-31,PT,-3.6204
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,OPR_PFT,2016,2015,0,2016-03-31,PT,21.7522
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,OTH_INC,2016,2015,0,2016-03-31,PT,2.5712
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,1.514593
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,SALES,2016,2015,0,2016-03-31,INR,452838200000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,SALES,2016,2015,0,2016-03-31,PT,-0.1373
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,117,AFY,MNF_CP_BASIC,TAX_PROV,2016,2015,0,2016-03-31,PT,22.9448
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,DEPRC,2016,2015,0,2016-03-31,PT,-1.5891
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,EBITDA,2016,2015,0,2016-03-31,PT,2.7546
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,EXPD,2016,2015,0,2016-03-31,PT,1.2061
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,3.7149
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,INT,2016,2015,0,2016-03-31,PT,2.3684
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,NET_PFT,2016,2015,0,2016-03-31,PT,-21.6154
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,OPR_PFT,2016,2015,0,2016-03-31,PT,1.0995
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,OTH_INC,2016,2015,0,2016-03-31,PT,15.0962
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,1.835777
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,MNF_CP_FNP,SALES,2016,2015,0,2016-03-31,INR,548867000000
