DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,TAX_PROV,2015,2014,500_TO_1000,0,2014-09-30,PT,6.4192
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,TAX_PROV,2015,2014,50_TO_100,0,2014-09-30,PT,-43.4648
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,TAX_PROV,2015,2014,ALL_COMP,0,2014-09-30,PT,29.0235
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,458,QFY,DEPRC,2015,2014,100_N_ABOVE,0,2014-12-31,PT,6.7289
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,756,QFY,DEPRC,2015,2014,100_TO_500,0,2014-12-31,PT,3.9138
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,282,QFY,DEPRC,2015,2014,25_TO_50,0,2014-12-31,PT,-12.7951
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,277,QFY,DEPRC,2015,2014,500_TO_1000,0,2014-12-31,PT,6.1952
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,295,QFY,DEPRC,2015,2014,50_TO_100,0,2014-12-31,PT,0.7959
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2845,QFY,DEPRC,2015,2014,ALL_COMP,0,2014-12-31,PT,6.1302
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,777,QFY,DEPRC,2015,2014,LES_CLS_THAN_25,0,2014-12-31,PT,-9.5494
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,458,QFY,EBITDA,2015,2014,100_N_ABOVE,0,2014-12-31,PT,1.3557
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,756,QFY,EBITDA,2015,2014,100_TO_500,0,2014-12-31,PT,-9.848
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,282,QFY,EBITDA,2015,2014,25_TO_50,0,2014-12-31,PT,-57.2929
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,277,QFY,EBITDA,2015,2014,500_TO_1000,0,2014-12-31,PT,-29.4463
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,295,QFY,EBITDA,2015,2014,50_TO_100,0,2014-12-31,PT,-37.4215
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2845,QFY,EBITDA,2015,2014,ALL_COMP,0,2014-12-31,PT,-1.51
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,458,QFY,EXPD,2015,2014,100_N_ABOVE,0,2014-12-31,PT,2.2243
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,756,QFY,EXPD,2015,2014,100_TO_500,0,2014-12-31,PT,-7.7331
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,282,QFY,EXPD,2015,2014,25_TO_50,0,2014-12-31,PT,-7.9593
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,277,QFY,EXPD,2015,2014,500_TO_1000,0,2014-12-31,PT,4.3918
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,295,QFY,EXPD,2015,2014,50_TO_100,0,2014-12-31,PT,-26.6178
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2845,QFY,EXPD,2015,2014,ALL_COMP,0,2014-12-31,PT,1.159
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,777,QFY,EXPD,2015,2014,LES_CLS_THAN_25,0,2014-12-31,PT,-36.7484
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,458,QFY,GROSS_PFT_EBIT,2015,2014,100_N_ABOVE,0,2014-12-31,PT,-0.1088
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,756,QFY,GROSS_PFT_EBIT,2015,2014,100_TO_500,0,2014-12-31,PT,-19.241
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,282,QFY,GROSS_PFT_EBIT,2015,2014,25_TO_50,0,2014-12-31,PT,-103.7835
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,277,QFY,GROSS_PFT_EBIT,2015,2014,500_TO_1000,0,2014-12-31,PT,-40.5828
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,295,QFY,GROSS_PFT_EBIT,2015,2014,50_TO_100,0,2014-12-31,PT,-81.2713
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2845,QFY,GROSS_PFT_EBIT,2015,2014,ALL_COMP,0,2014-12-31,PT,-3.7659
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,458,QFY,INT,2015,2014,100_N_ABOVE,0,2014-12-31,PT,9.3469
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,756,QFY,INT,2015,2014,100_TO_500,0,2014-12-31,PT,0.336
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,282,QFY,INT,2015,2014,25_TO_50,0,2014-12-31,PT,-2.595
