DATAFLOW,AUDST,FREQ,HI_LW_AVG_RATES_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-08-31,INR,1.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-07-31,INR,3.178471
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-07-31,INR,1.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-07-31,INR,3.6
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-06-30,INR,3.7
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-06-30,INR,3.135995
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-06-30,INR,1.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-05-31,INR,1.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-05-31,INR,3.191904
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-05-31,INR,3.6
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2021-04-30,INR,1.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2021-04-30,INR,3.192548
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2021-04-30,INR,3.57
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2021-03-31,INR,3.228671
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2021-03-31,INR,3.6
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2021-03-31,INR,1.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2021-02-28,INR,1.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2021-02-28,INR,3.233254
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2021-02-28,INR,3.75
