DATAFLOW,AUDST,BASE_PER,FREQ,NAT_INC_INDC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_PER_CAP_PFCE,CURR_PRC,1986,1985,0,1986-03-31,INR,2750.329672
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_POPL,CURR_PRC,1986,1985,0,1986-03-31,INR,755000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_PRI_INC_RCV_ROW_NET,CNST_PRC,1986,1985,0,1986-03-31,INR,-98177512279.99998
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_PRI_INC_RCV_ROW_NET,CURR_PRC,1986,1985,0,1986-03-31,INR,-14290000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_CONS_FX_CAP,CNST_PRC,1987,1986,0,1987-03-31,INR,808110000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_CONS_FX_CAP,CURR_PRC,1987,1986,0,1987-03-31,INR,289350000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GDP_FACT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,8502170000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GDP_FACT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,2836810000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GDP_MARK_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,9366710000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GDP_MARK_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,3148160000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GDP_PUB_SEC,CNST_PRC,1987,1986,0,1987-03-31,INR,2088750000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GDP_PUB_SEC,CURR_PRC,1987,1986,0,1987-03-31,INR,714690000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GFCE,CNST_PRC,1987,1986,0,1987-03-31,INR,1149690000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GFCE,CURR_PRC,1987,1986,0,1987-03-31,INR,374960000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GNP_FACT_PRC,CNST_PRC,1987,1986,0,1987-03-31,INR,8440530000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GNP_FACT_PRC,CURR_PRC,1987,1986,0,1987-03-31,INR,2818760000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GNP_MARK_PRC,CNST_PRC,1987,1986,0,1987-03-31,INR,9305060000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GNP_MARK_PRC,CURR_PRC,1987,1986,0,1987-03-31,INR,3130110000000
