DATAFLOW,AUDST,BASE_PER,CLASF_SEC_GDP_RN,DIFF_SEC_GDP_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2019,2018,0,2019-03-31,INR,20612174460734
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2019,2018,0,2019-03-31,INR,84506700000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GEN_GOV,AFY,N_A,2019,2018,0,2019-03-31,INR,-2591273016181.99
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_SAV,AFY,N_A,2019,2018,0,2019-03-31,INR,60003903119520
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_NON_DEP_ENT,AFY,N_A,2019,2018,0,2019-03-31,INR,1956685387296
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_PHY_ASS,AFY,N_A,2019,2018,0,2019-03-31,INR,23094631579151.9
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_NON_DEP_ENT,AFY,N_A,2019,2018,0,2019-03-31,INR,1695130043664.67
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_FIN_CRP,AFY,N_A,2019,2018,0,2019-03-31,INR,3537186005455.87
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_NON_FIN_CRP,AFY,N_A,2019,2018,0,2019-03-31,INR,18104205036244.7
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_NON_FIN_CRP,AFY,N_A,2018,2017,0,2018-03-31,INR,17678910000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_NON_DEP_ENT,AFY,N_A,2018,2017,0,2018-03-31,INR,2289090000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2018,2017,0,2018-03-31,INR,82180000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_NON_DEP_ENT,AFY,N_A,2018,2017,0,2018-03-31,INR,1871310000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_FIN_CRP,AFY,N_A,2018,2017,0,2018-03-31,INR,3870280000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_GLD_SLV,AFY,N_A,2018,2017,0,2018-03-31,INR,466650000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_SAV,AFY,N_A,2018,2017,0,2018-03-31,INR,54807410000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2018,2017,0,2018-03-31,INR,32965960000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP,AFY,N_A,2018,2017,0,2018-03-31,INR,2374830000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_PHY_ASS,AFY,N_A,2018,2017,0,2018-03-31,INR,19442260000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP,AFY,N_A,2018,2017,0,2018-03-31,INR,2371270000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_FIN_CRP,AFY,N_A,2018,2017,0,2018-03-31,INR,1499010000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2018,2017,0,2018-03-31,INR,20053740000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_DEP_ENT,AFY,N_A,2018,2017,0,2018-03-31,INR,503520000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GEN_GOV,AFY,N_A,2018,2017,0,2018-03-31,INR,-2082570000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_FIN_SAV,AFY,N_A,2018,2017,0,2018-03-31,INR,20564050000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_LES_FIN_LIB,AFY,N_A,2018,2017,0,2018-03-31,INR,7507000000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP,AFY,N_A,2017,2016,0,2017-03-31,INR,1721860000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_FIN_SAV,AFY,N_A,2017,2016,0,2017-03-31,INR,16146770000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_DEP_ENT,AFY,N_A,2017,2016,0,2017-03-31,INR,443000000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_NON_DEP_ENT,AFY,N_A,2017,2016,0,2017-03-31,INR,2081000000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_NON_FIN_CRP,AFY,N_A,2017,2016,0,2017-03-31,INR,16388330000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_GLD_SLV,AFY,N_A,2017,2016,0,2017-03-31,INR,465320000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_FIN_CRP,AFY,N_A,2017,2016,0,2017-03-31,INR,1331510000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2017,2016,0,2017-03-31,INR,18110190000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_SAV,AFY,N_A,2017,2016,0,2017-03-31,INR,48251130000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_FIN_CRP,AFY,N_A,2017,2016,0,2017-03-31,INR,3484090000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_LES_FIN_LIB,AFY,N_A,2017,2016,0,2017-03-31,INR,4686480000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2017,2016,0,2017-03-31,INR,27871340000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2017,2016,0,2017-03-31,INR,71590000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_PHY_ASS,AFY,N_A,2017,2016,0,2017-03-31,INR,15945730000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP,AFY,N_A,2017,2016,0,2017-03-31,INR,2152580000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GEN_GOV,AFY,N_A,2017,2016,0,2017-03-31,INR,-1214490000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_NON_DEP_ENT,AFY,N_A,2017,2016,0,2017-03-31,INR,1278860000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_LES_FIN_LIB,AFY,N_A,2016,2015,0,2016-03-31,INR,3853880000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2016,2015,0,2016-03-31,INR,24749130000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2016,2015,0,2016-03-31,INR,78780000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2016,2015,0,2016-03-31,INR,16771840000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_FIN_SAV,AFY,N_A,2016,2015,0,2016-03-31,INR,14962320000000
