DATAFLOW,AUDST,CAT_CNTR_TRD_RN,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_SAF,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,7461810681
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_COUN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,60992609580026.99
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OPEC_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,504533267440.0005
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_BEL,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,534577296238
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_NEP,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,102332798848
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_LAT_AM,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,12104947001
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_COUN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,37019004619307
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_LAT_AM,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1390450035667
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_ITL,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,509553819279
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_NA_USA,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,86510817064
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_NRT_AM,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,96481799520
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_EU_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,147015310647
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OPEC_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,12535059302
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,2152034360
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,1367995182938
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,210686709101
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,95691748527
