DATAFLOW,AUDST,CAT_BOP_IND,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,2002,2001,0,2002-03-31,PT,11.59255
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,2002,2001,0,2002-03-31,PT,3.08451
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,2002,2001,0,2002-03-31,PT,4.48298
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,2002,2001,0,2002-03-31,PT,7.56749
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,2002,2001,0,2002-03-31,PT,11.53708
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,2003,2002,0,2003-03-31,PT,1.23191
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,2003,2002,0,2003-03-31,PT,107.10097
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,2003,2002,0,2003-03-31,PT,18.58042
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,2003,2002,0,2003-03-31,PT,10.44048
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,2003,2002,0,2003-03-31,PT,7.73794
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,2003,2002,0,2003-03-31,PT,0.80788
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,2003,2002,0,2003-03-31,PT,12.516
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,2003,2002,0,2003-03-31,PT,3.30743
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,2003,2002,0,2003-03-31,PT,4.83251
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,2003,2002,0,2003-03-31,PT,8.13994
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,2003,2002,0,2003-03-31,PT,14.16605
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,2004,2003,0,2004-03-31,PT,2.31738
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,2004,2003,0,2004-03-31,PT,113.3223
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,2004,2003,0,2004-03-31,PT,19.71216
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,2004,2003,0,2004-03-31,PT,10.90732
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,2004,2003,0,2004-03-31,PT,20.73471
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,2004,2003,0,2004-03-31,PT,2.2616
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,2004,2003,0,2004-03-31,PT,13.16464
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,2004,2003,0,2004-03-31,PT,4.57471
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,2004,2003,0,2004-03-31,PT,4.23013
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,2004,2003,0,2004-03-31,PT,8.80484
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,2004,2003,0,2004-03-31,PT,16.94321
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,2005,2004,0,2005-03-31,PT,-0.348303
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,2005,2004,0,2005-03-31,PT,98.428843
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,2005,2004,0,2005-03-31,PT,21.820265
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,2005,2004,0,2005-03-31,PT,12.015183
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,2005,2004,0,2005-03-31,PT,15.25714
