DATAFLOW,AUDST,COMP_BOP_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1992,1991,0,1992-03-31,INR,72740000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1992,1991,0,1992-03-31,USD,2599000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1992,1991,0,1992-03-31,INR,-93510000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1992,1991,0,1992-03-31,USD,-3384000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1993,1992,0,1993-03-31,INR,118830000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1993,1992,0,1993-03-31,USD,2936000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1993,1992,0,1993-03-31,INR,-10950000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1993,1992,0,1993-03-31,USD,-358000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1993,1992,0,1993-03-31,INR,57480000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1993,1992,0,1993-03-31,USD,1859000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1993,1992,0,1993-03-31,INR,16990000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1993,1992,0,1993-03-31,USD,557000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1993,1992,0,1993-03-31,INR,60970000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1993,1992,0,1993-03-31,USD,2001000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1993,1992,0,1993-03-31,INR,17680000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1993,1992,0,1993-03-31,USD,-245000000
