DATAFLOW,AUDST,FREQ,LIB_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2016,2015,0,2016-03-31,RO,48.59
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2016,2015,0,2016-03-31,RO,2.95
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2016,2015,0,2016-03-31,RO,23.37
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2016,2015,0,2016-03-31,RO,65.58
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2016,2015,0,2016-03-31,RO,68.53
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2017,2016,0,2017-03-31,RO,49.54
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2017,2016,0,2017-03-31,RO,46.89
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2017,2016,0,2017-03-31,RO,2.65
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2017,2016,0,2017-03-31,RO,24.75
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2017,2016,0,2017-03-31,RO,66.12
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2017,2016,0,2017-03-31,RO,68.77
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2018,2017,0,2018-03-31,RO,49.471095
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2018,2017,0,2018-03-31,RO,46.86559
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2018,2017,0,2018-03-31,RO,2.605505
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2018,2017,0,2018-03-31,RO,25.116938
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2018,2017,0,2018-03-31,RO,66.969415
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2018,2017,0,2018-03-31,RO,69.57492
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2019,2018,0,2019-03-31,RO,49.619163
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2019,2018,0,2019-03-31,RO,47.11
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2019,2018,0,2019-03-31,RO,2.51
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2019,2018,0,2019-03-31,RO,25.327267
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2019,2018,0,2019-03-31,RO,68.020168
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2019,2018,0,2019-03-31,RO,70.530471
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2020,2019,0,2020-03-31,RO,52.505484
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2020,2019,0,2020-03-31,RO,49.79754
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2020,2019,0,2020-03-31,RO,2.707944
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2020,2019,0,2020-03-31,RO,26.61572
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2020,2019,0,2020-03-31,RO,72.407937
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2020,2019,0,2020-03-31,RO,75.115881
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2021,2020,0,2021-03-31,RO,62.577412
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2021,2020,0,2021-03-31,RO,59.480676
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2021,2020,0,2021-03-31,RO,3.096736
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2021,2020,0,2021-03-31,RO,31.00116
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2021,2020,0,2021-03-31,RO,86.144816
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2021,2020,0,2021-03-31,RO,89.241552
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2022,2021,0,2022-03-31,RO,58.916506
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2022,2021,0,2022-03-31,RO,56.126648
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2022,2021,0,2022-03-31,RO,2.789858
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2022,2021,0,2022-03-31,RO,29.139563
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2022,2021,0,2022-03-31,RO,81.442509
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2022,2021,0,2022-03-31,RO,84.232368
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2023,2022,0,2023-03-31,RO,58.08
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2023,2022,0,2023-03-31,RO,55.29
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2023,2022,0,2023-03-31,RO,2.78
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2023,2022,0,2023-03-31,RO,28.24
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2023,2022,0,2023-03-31,RO,80.1
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2023,2022,0,2023-03-31,RO,82.88
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2024,2023,0,2024-03-31,RO,57.33
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2024,2023,0,2024-03-31,RO,54.69
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2024,2023,0,2024-03-31,RO,2.64
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2024,2023,0,2024-03-31,RO,27.95
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2024,2023,0,2024-03-31,RO,79.12
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2024,2023,0,2024-03-31,RO,81.76
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2025,2024,0,2025-03-31,RO,56.82
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2025,2024,0,2025-03-31,RO,54.33
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2025,2024,0,2025-03-31,RO,2.49
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2025,2024,0,2025-03-31,RO,28.78
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2025,2024,0,2025-03-31,RO,79.43
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2025,2024,0,2025-03-31,RO,81.92
