DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,32.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,24.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,40.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,27.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,58.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,ER_CRM_TE,0,2013-03-31,PT,55.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,ER_ICR,0,2013-03-31,PT,2.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,ER_IP_TE,0,2013-03-31,PT,3.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,ER_RTE_TE,0,2013-03-31,PT,10.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,LR_CA_TNA,0,2013-03-31,PT,68.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,LR_QA_CL,0,2013-03-31,PT,52.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,LR_TP_CA,0,2013-03-31,PT,20.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_DIV_NW,0,2013-03-31,PT,1.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,7.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,6.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,5.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,10.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,2.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,5.3
