DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_TYP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_INC,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,26.58067468839
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_INC,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,25.218226087407
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_INC,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,13.538140737657
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_INC,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,15.46773084
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_VAL_PROD,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,27.093798809574
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_VAL_PROD,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,26.814350862049
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_VAL_PROD,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,12.609575879766
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_VAL_PROD,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,15.5087153
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,410,AFY,GRP_BORRW_BNKS,PRV,CURR_YR,2014,2013,0,2014-03-31,PT,22.6
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,410,AFY,GRP_BORRW_BNKS,PRV,PREV_YR,2014,2013,0,2014-03-31,PT,40.5
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,547,AFY,GRP_BORRW_BNKS,PUB,CURR_YR,2014,2013,0,2014-03-31,PT,-1.9
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,547,AFY,GRP_BORRW_BNKS,PUB,PREV_YR,2014,2013,0,2014-03-31,PT,7.3
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,410,AFY,GRP_CURR_ASST,PRV,CURR_YR,2014,2013,0,2014-03-31,PT,18.8
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,410,AFY,GRP_CURR_ASST,PRV,PREV_YR,2014,2013,0,2014-03-31,PT,15.4
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,547,AFY,GRP_CURR_ASST,PUB,CURR_YR,2014,2013,0,2014-03-31,PT,8.5
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,547,AFY,GRP_CURR_ASST,PUB,PREV_YR,2014,2013,0,2014-03-31,PT,8.5
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,410,AFY,GRP_CURR_LIB,PRV,CURR_YR,2014,2013,0,2014-03-31,PT,15.5
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,410,AFY,GRP_CURR_LIB,PRV,PREV_YR,2014,2013,0,2014-03-31,PT,20.7
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,547,AFY,GRP_CURR_LIB,PUB,CURR_YR,2014,2013,0,2014-03-31,PT,16.2
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,547,AFY,GRP_CURR_LIB,PUB,PREV_YR,2014,2013,0,2014-03-31,PT,11.1
